bed_thickness,bed_duration,depth_m,CDMR
0.4,4.20012,625.23,1.56e-14
0.2,1.60006,625.63,-0.01959
0.24,2.92007,625.83,-0.06894
1.1,10.80034,626.07,-0.07548
0.66,6.2802,627.17,-0.10168
0.65,6.2002,627.83,-0.13112
0.75,7.86508,628.48,-0.16031
0.85,11.60052,629.23,-0.18002
0.42,5.72026,630.08,-0.17765
1.83,25.28111,630.5,-0.17542
0.12,1.92008,632.33,-0.17216
0.11,1.76006,632.45,-0.15901
0.25,3.00016,632.56,-0.14586
0.35,4.60021,632.81,-0.15354
0.32,5.1202,633.16,-0.15398
0.13,1.17388,633.48,-0.14083
0.6,8.50656,633.61,-0.17592
0.48,6.68029,634.21,-0.17081
1.11,15.33382,634.69,-0.16702
0.34,4.86707,635.8,-0.16376
